,movie,production_budget,domestic_gross,worldwide_gross,total_gross,profit
1828,Arachnophobia,31000000,53208180,53208180,106416360,75416360
3408,Arbitrage,12000000,7919574,35830713,43750287,31750287
2503,Are We There Yet?,20000000,82674398,98114471,180788869,160788869
1326,Argo,44500000,136025503,227140757,363166260,318666260
2455,Arlington Road,21500000,24419219,24419219,48838438,27338438
207,Armageddon,140000000,201578182,554600000,756178182,616178182
2613,Armored,20000000,15988876,23661038,39649914,19649914
3495,Army of Darkness,11000000,11502976,21502976,33005952,22005952
2925,Arn - Tempelriddaren,16500000,0,21404122,21404122,4904122
1233,Arrival,47000000,100546139,203127894,303674033,256674033
1466,Arthur,40000000,33035397,47787943,80823340,40823340
513,Arthur Christmas,85000000,46462469,149717124,196179593,111179593
605,Arthur et les Minimoys,80000000,15132763,113325743,128458506,48458506
459,Artificial Intelligence: AI,90000000,78616689,235900000,314516689,224516689
4283,"As Above, So Below",5000000,21222315,41824066,63046381,58046381
1088,As Good as it Gets,50000000,148478011,314111923,462589934,412589934
1162,Assassins,50000000,30306268,83306268,113612536,63612536
279,Assassinâs Creed,125000000,54647948,240759682,295407630,170407630
1951,Assault On Precinct 13,30000000,20040895,36040895,56081790,26081790
311,AstÃ©rix aux Jeux Olympiques,113500000,999811,132999811,133999622,20499622
1492,At First Sight,40000000,22365133,22365133,44730266,4730266
456,Atlantis: The Lost Empire,90000000,84052762,186049020,270101782,180101782
1893,Atomic Blonde,30000000,51573925,98345423,149919348,119919348
1896,Atonement,30000000,50980159,129779728,180759887,150759887
2229,August Rush,25000000,31664162,65882103,97546265,72546265
2214,August: Osage County,25000000,37738810,50738810,88477620,63477620
825,Austin Powers in Goldmember,63000000,213117789,296338663,509456452,446456452
2778,Austin Powers: International Man of Mystery,18000000,53883989,67683989,121567978,103567978
1627,Austin Powers: The Spy Who Shagged Me,35000000,206040085,312383487,518423572,483423572
253,Australia,130000000,49554002,215080810,264634812,134634812
1456,Autumn in New York,40000000,37752931,90717684,128470615,88470615
0,Avatar,425000000,760507625,2776345279,3536852904,3111852904
3,Avengers: Age of Ultron,330600000,459005868,1403013963,1862019831,1531419831
6,Avengers: Infinity War,300000000,678815482,2048134200,2726949682,2426949682
3828,Awake,8600000,14373825,32968648,47342473,38742473
5553,Ayurveda: Art of Being,300000,16892,2066892,2083784,1783784
1954,Baahubali 2: The Conclusion,30000000,18985794,263502914,282488708,252488708
1873,Babe,30000000,63658910,246100000,309758910,279758910
602,Babe: Pig in the City,80000000,18319860,69131860,87451720,7451720
2555,Babel,20000000,34302837,132121212,166424049,146424049
2942,Baby Boy,16000000,28734552,28734552,57469104,41469104
1758,Baby Driver,34000000,107825862,228104185,335930047,301930047
3265,Baby Geniuses,13000000,27151490,27151490,54302980,41302980
1878,Baby Mama,30000000,60494212,64170447,124664659,94664659
1301,Babylon A.D.,45000000,22532572,70216497,92749069,47749069
