,title,domestic_gross,year
1505,Mr. Peabody & Sherman,111500000,2014
362,Mr. Popper's Penguins,68200000,2011
1558,Muppets Most Wanted,51200000,2014
2784,Murder on the Orient Express (2017),102800000,2017
2403,My Big Fat Greek Wedding 2,59700000,2016
67,Nanny McPhee Returns,29000000,2010
1518,Need for Speed,43600000,2014
1506,Neighbors,150200000,2014
2397,Neighbors 2: Sorority Rising,55500000,2016
2408,Nerve,38600000,2016
385,New Year's Eve,54500000,2011
3136,Night School (2018),77300000,2018
1498,Night at the Museum: Secret of the Tomb,113700000,2014
1595,Nightcrawler,32400000,2014
1576,No Good Deed (2014),52500000,2014
381,No Strings Attached,70700000,2011
1499,Noah,101200000,2014
3188,Nobody's Fool,31700000,2018
1512,Non-Stop,92200000,2014
1147,Now You See Me,117700000,2013
2348,Now You See Me 2,65099999,2016
1151,Oblivion,89100000,2013
3111,Ocean's 8,140200000,2018
2393,Office Christmas Party,54800000,2016
1174,Olympus Has Fallen,98900000,2013
1219,One Direction: This is Us,28900000,2013
1542,Ouija,50900000,2014
2409,Ouija: Origin of Evil,35100000,2016
3145,Overboard (2018),50300000,2018
1139,Oz The Great and Powerful,234900000,2013
1142,Pacific Rim,101800000,2013
3112,Pacific Rim Uprising,59900000,2018
1898,Paddington,76300000,2015
3117,Paddington 2,40900000,2018
1206,Pain and Gain,49900000,2013
1925,Pan,35100000,2015
1947,Paper Towns,32000000,2015
790,ParaNorman,56000000,2012
39,Paranormal Activity 2,84800000,2010
360,Paranormal Activity 3,104000000,2011
777,Paranormal Activity 4,53900000,2012
1550,Paranormal Activity: The Marked Ones,32500000,2014
786,Parental Guidance,77300000,2012
2350,Passengers (2016),100000000,2016
2430,Patriots Day,31900000,2016
397,Paul,37400000,2011
1933,Paul Blart: Mall Cop 2,71000000,2015
1495,Penguins of Madagascar,83400000,2014
3169,Peppermint,35400000,2018
31,Percy Jackson & The Olympians: The Lightning Thief,88800000,2010
1166,Percy Jackson: Sea of Monsters,68600000,2013
2381,Pete's Dragon (2016),76200000,2016
3106,Peter Rabbit,115300000,2018
1194,Philomena,37700000,2013
2769,Pirates of the Caribbean: Dead Men Tell No Tales,172600000,2017
330,Pirates of the Caribbean: On Stranger Tides,241100000,2011
788,Pitch Perfect,65000000,2012
1897,Pitch Perfect 2,184300000,2015
2806,Pitch Perfect 3,104900000,2017
1902,Pixels,78700000,2015
1161,Planes,90300000,2013
1528,Planes: Fire & Rescue,59200000,2014
1923,Point Break (2015),28800000,2015
1943,Poltergeist (2015),47400000,2015
2818,Power Rangers (2017),85400000,2017
54,Predators,52000000,2010
411,Priest,29100000,2011
15,Prince of Persia: The Sands of Time,90800000,2010
1187,Prisoners,61000000,2013
794,Project X,54700000,2012
744,Prometheus,126500000,2012
338,Puss in Boots,149300000,2011
1210,R.I.P.D.,33600000,2013
3094,Ralph Breaks the Internet,201100000,2018
3099,Rampage (2018),101000000,2018
350,Rango,123500000,2011
3090,Ready Player One,137700000,2018
347,Real Steel,85500000,2011
38,Red,90400000,2010
1179,Red 2,53300000,2013
833,Red Dawn (2012),44800000,2012
404,Red Riding Hood,37700000,2011
3127,Red Sparrow,46900000,2018
827,Red Tails,49900000,2012
21,Resident Evil: Afterlife,60100000,2010
759,Resident Evil: Retribution,42300000,2012
1196,Riddick,42000000,2013
1527,Ride Along,134900000,2014
2386,Ride Along 2,91200000,2016
340,Rio,143600000,2011
1491,Rio 2,131500000,2014
752,Rise of the Guardians,103400000,2012
341,Rise of the Planet of the Apes,176800000,2011
2437,Risen,36900000,2016
18,Robin Hood,105300000,2010
3147,Robin Hood (2018),30800000,2018
1510,RoboCop (2014),58600000,2014
820,Rock of Ages,38500000,2012
2323,Rogue One: A Star Wars Story,532200000,2016
1197,Safe Haven,71300000,2013
764,Safe House,126400000,2012
23,Salt,118300000,2010
1887,San Andreas,155200000,2015
2382,Sausage Party,97700000,2016
804,Savages (2012),47400000,2012
1188,Saving Mr. Banks,83300000,2013
51,Saw 3D,45700000,2010
1209,Scary Movie 5,32000000,2013
109,Scott Pilgrim vs. the World,31500000,2010
